id,hip,hd,hr,gl,bf,proper,dist,mag,absmag,spect,ci,x,y,z,bayer,flam,con,comp,comp_primary,base,lum,var
1753,65378,116656,5054,GJ 3783A,79Zet UMa,Mizar,26.3089,2.23,0.129,A2V,0.057,-14.115808,-5.413302,21.531272,Zet,79,UMa,1,65173,GJ 3783,77.3392578,
1754,65420,116568,5050,,66    Vir,,29.967,5.76,3.377,F3V,0.415,-27.837241,-10.762966,-2.697251,,66,Vir,1,65215,,3.88329157,
1755,65426,116434,,,,Matza,97.9432,7.01,2.055,A2V,0.093,-56.858287,-21.997276,-76.655891,,,Cen,1,65221,,13.12199899,
1756,65468,116244,5042,,Iot1Mus,,67.7966,5.04,0.884,K0III,1.11,-16.470202,-6.414728,-65.452247,Iot-1,,Mus,1,65263,,38.58335599,
1757,65474,116658,5056,,67Alp Vir,Spica,76.5697,0.98,-3.44,B1V,-0.235,-69.990853,-27.285826,-14.82176,Alp,67,Vir,1,65269,,2070.141349,Alp
1758,65477,116842,5062,GJ 3785,80    UMa,Alcor,25.0564,3.99,1.995,A5V SB,0.169,-13.393436,-5.223608,20.521915,,80,UMa,1,65272,,13.86755829,
1759,65581,116870,5064,,68    Vir,,134.9528,5.27,-0.381,K5III,1.477,-122.334517,-48.633025,-29.686413,,68,Vir,1,65375,,123.7086307,
1760,65628,116579,5051,,Iot2Mus,,159.4896,6.62,0.606,B9V,-0.056,-39.088488,-15.655705,-153.830793,Iot-2,,Mus,1,65422,,49.84252094,
1761,65639,116976,5068,Gl 511.2,69    Vir,,85.9107,4.76,0.09,K1IIICN...,1.096,-76.652995,-30.757106,-23.642083,,69,Vir,1,65433,,80.16780634,
1762,65721,117176,5072,Gl 512.1,70    Vir,,17.9856,4.97,3.695,G5V,0.714,-16.183798,-6.57404,4.283711,,70,Vir,1,65515,,2.897343588,
1763,65790,117304,5081,,71    Vir,,98.2318,5.65,0.689,K0III,1.052,-89.267074,-36.618682,18.437637,,71,Vir,1,65584,,46.17426595,
1764,65892,117436,5088,,72    Vir,,53.2198,6.1,2.47,F2V,0.341,-48.817487,-20.32794,-5.9972,,72,Vir,1,65685,,8.953647655,
1765,66006,117675,5095,,74    Vir,,122.549,4.68,-0.762,M3III,1.606,-112.142683,-47.58139,-13.35391,,74,Vir,1,65798,,175.7114247,
1766,66015,117661,5094,,73    Vir,,76.5697,6.01,1.59,A7IV/V,0.196,-66.74469,-28.347519,-24.585743,,73,Vir,1,65807,,20.1372425,HX
1767,66047,117618,,,,Dofida,37.9651,7.17,4.273,G2V,0.603,-23.693773,-10.109418,-27.888234,,,Cen,1,65839,,1.701374816,
1768,66091,117789,5099,,75    Vir,,157.7287,5.52,-0.47,K1III,1.228,-139.777423,-59.952502,-41.787548,,75,Vir,1,65883,,134.2764961,
1769,66098,117818,5100,,76    Vir,,72.0981,5.21,0.92,K0III,0.964,-65.207239,-28.004416,-12.724123,,76,Vir,1,65890,,37.32501578,
1770,66192,118203,,,,Liesma,88.574,8.05,3.313,K0,0.699,-48.051398,-20.903886,71.410393,,,UMa,1,65983,,4.119077849,
1771,66198,118214,5109,,81    UMa,,91.5751,5.6,0.791,A0V,-0.014,-47.738568,-20.787486,75.331913,,81,UMa,1,65989,,42.03393032,
1772,66200,118022,5105,,78    Vir,,56.6572,4.92,1.154,A1p SrCrEu,0.029,-51.839033,-22.575812,3.615721,,78,Vir,1,65991,,30.08846277,CW
1773,66234,118232,5112,,24    CVn,,55.2792,4.68,0.967,A5V,0.132,-33.218997,-14.522401,41.729729,,24,CVn,1,66025,,35.74374063,
1774,66249,118098,5107,GJ 3792,79Zet Vir,Heze,22.7118,3.38,1.599,A3V,0.114,-20.799365,-9.118725,-0.236175,Zet,79,Vir,1,66040,,19.97100866,
1775,66320,118219,5111,,80    Vir,,97.1817,5.7,0.762,G6III,0.95,-88.468334,-39.167569,-9.139167,,80,Vir,1,66111,,43.17178445,
1776,66458,118623,5127,,25    CVn,,60.9013,4.82,0.897,A7III,0.239,-44.71347,-20.250115,36.049969,,25,CVn,1,66249,,38.12413511,
1777,66634,119024,5142,,82    UMa,,53.5906,5.46,1.815,A3Vn,0.113,-29.312421,-13.59199,42.754857,,82,UMa,1,66424,,16.36816521,
1778,66657,118716,5132,,Eps Cen,,131.0616,2.29,-3.297,B1III,-0.171,-70.726493,-32.9381,-105.309044,Eps,,Cen,1,66447,,1814.679779,Eps
1779,66727,119055,5144,,1    Boo,,100.6036,5.73,0.717,A1V,0.017,-85.585022,-40.21602,34.335306,,1,Boo,1,66516,,44.99870339,
1780,66738,119228,5154,,83    UMa,,160.5136,4.63,-1.398,M2IIIvar,1.63,-83.974953,-39.487818,130.971319,,83,UMa,1,66527,,315.6457891,IQ
1781,66753,117374,5084,,Kap Oct,,83.7521,5.56,0.945,A2m...,0.183,-5.567054,-2.623356,-83.525605,Kap,,Oct,1,66541,,36.47539469,
